n,score
1,26976
2,35912
3,15360
4,37300
5,25152
6,36092
7,34408
8,36320
9,32128
10,31588
11,24592
12,32496
13,35876
14,58068
15,32092
16,36084
17,35968
18,31640
19,25764
20,34640
21,14664
22,16104
23,3040
24,37760
25,14496
26,45084
27,29116
28,12248
29,26872
30,31988
31,34708
32,36144
33,34688
34,45080
35,34576
36,35036
37,35420
38,35624
39,35108
40,37840
41,59480
42,20632
43,59588
44,27380
45,12184
46,34148
47,42832
48,47952
49,9380
50,27172
51,40972
52,30576
53,10416
54,35316
55,27420
56,31668
57,34956
58,33612
59,14360
60,16056
61,33652
62,33468
63,32168
64,36796
65,35992
66,16204
67,67044
68,29552
69,35692
70,43596
71,36132
72,35136
73,34704
74,36232
75,36096
76,31540
77,36220
78,43480
79,34384
80,50312
81,54948
82,26672
83,14088
84,35940
85,35516
86,27240
87,32844
88,34660
89,35364
90,36976
91,36264
92,16100
93,35020
94,12160
95,28044
96,35496
97,31356
98,21868
99,60320
100,27104
101,35912
102,12284
103,35096
104,34332
105,34360
106,58932
107,31944
108,35928
109,27152
110,63452
111,34792
112,16812
113,34444
114,34348
115,6356
116,35928
117,7080
118,69320
119,37084
120,35576
121,37704
122,15816
123,26856
124,36248
125,15920
126,32004
127,27220
128,36660
129,51540
130,34576
131,35840
132,30484
133,36068
134,34516
135,35840
136,27180
137,23860
138,69528
139,51272
140,35832
141,31628
142,1832
143,32296
144,3504
145,35896
146,36868
147,34348
148,58752
149,30376
150,40108
151,35832
152,34572
153,34444
154,36088
155,16240
156,34680
157,18324
158,32240
159,35480
160,32104
161,23020
162,27076
163,16156
164,34456
165,16100
166,35696
167,12196
168,60328
169,23116
170,32220
171,37560
172,26840
173,12212
174,34884
175,34724
176,35920
177,35804
178,51368
179,35936
180,36292
181,43324
182,35912
183,33140
184,36072
185,27392
186,35308
187,41952
188,35316
189,34484
190,27432
191,16056
192,35100
193,30336
194,70308
195,6348
196,39232
197,16044
198,34016
199,31704
200,35732
201,7148
202,56304
203,35852
204,51068
205,35512
206,30144
207,8032
208,35584
209,32132
210,34312
211,31600
212,35496
213,35616
214,58352
215,35448
216,36016
217,32104
218,34452
219,57468
220,52048
221,60408
222,35980
223,34476
224,33896
225,14620
226,17272
227,15112
228,35768
229,46488
230,25000
231,20592
232,26480
233,31468
234,34148
235,34784
236,35864
237,34464
238,32404
239,35144
240,35064
241,31612
242,26764
243,33700
244,33540
245,26392
246,32312
247,65164
248,13192
249,35400
250,34404
251,27048
252,30900
253,35232
254,17080
255,28648
256,33768
257,35328
258,27156
259,29948
260,34544
